sku	image	thumbnail
28804U07	/m/a/main_20_33.jpg	/m/a/main_20_33.jpg
28804	/m/a/main_20_32.jpg	/m/a/main_20_32.jpg
25710K07	/m/a/main_23.jpg	/m/a/main_23.jpg
25710K17	/m/a/main_22.jpg	/m/a/main_22.jpg
25710	/m/a/main_21.jpg	/m/a/main_21.jpg
24703K07	/m/a/main_172_6.jpg	/m/a/main_172_6.jpg
24703G07	/m/a/main_172_1.jpg	/m/a/main_172_1.jpg
24703B07	/m/a/main_172_3.jpg	/m/a/main_172_3.jpg
24703	/m/a/main_173.jpg	/m/a/main_173.jpg
23804Y07	/m/a/main_27.jpg	/m/a/main_27.jpg
22121K07	/m/a/main_30.jpg	/m/a/main_30.jpg
22121	/m/a/main_29.jpg	/m/a/main_29.jpg
22120K07	/m/a/main_12120_1571731501776.jpg	/m/a/main_12120_1571731501776.jpg
22120G07	/m/a/main_33.jpg	/m/a/main_33.jpg
22120	/m/a/main_12120_1571731428701.jpg	/m/a/main_12120_1571731428701.jpg
22119G07	/m/a/main_37.jpg	/m/a/main_37.jpg
22119	/m/a/main_36.jpg	/m/a/main_36.jpg
22117K07	/m/a/main_38_1.jpg	/m/a/main_38_1.jpg
22117	/m/a/main_38.jpg	/m/a/main_38.jpg
18805K07	/m/a/main_40_1.jpg	/m/a/main_40_1.jpg
18805	/m/a/main_40.jpg	/m/a/main_40.jpg
18804U07	/m/a/main_41_1.jpg	/m/a/main_41_1.jpg
18804	/m/a/main_41.jpg	/m/a/main_41.jpg
17703K07	/m/a/main_43.jpg	/m/a/main_43.jpg
17703P07	/m/a/main_44.jpg	/m/a/main_44.jpg
17703U07	/m/a/main_45.jpg	/m/a/main_45.jpg
